epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
20,62.752,1.01571,0.98341,1.24299,0.77558,0.55882,0.65405,0.41748,1.29528,1.59633,1.5784,0.0016238,0.0016238,0.0016238
21,65.7465,0.98933,0.94415,1.22791,0.77412,0.80641,0.84456,0.56961,1.13029,1.04997,1.45838,0.001604,0.001604,0.001604
22,68.7049,1.003,0.94791,1.23553,0.78909,0.625,0.74741,0.48603,1.25496,1.3529,1.4929,0.0015842,0.0015842,0.0015842
23,71.5704,0.98496,0.92962,1.2148,0.76768,0.69853,0.74545,0.50958,1.27089,1.25164,1.50235,0.0015644,0.0015644,0.0015644
24,74.367,0.98143,0.91666,1.22401,0.83933,0.84508,0.87875,0.58287,1.09877,0.92643,1.36095,0.0015446,0.0015446,0.0015446
25,77.2935,0.96099,0.90306,1.20988,0.85215,0.89706,0.91816,0.64328,1.02777,0.89771,1.29024,0.0015248,0.0015248,0.0015248
26,80.1615,0.93404,0.85782,1.19238,0.87866,0.85195,0.92761,0.65637,1.00883,0.9972,1.28188,0.001505,0.001505,0.001505
27,83.1158,0.91897,0.86703,1.19249,0.81425,0.80882,0.86256,0.58575,1.07451,1.23397,1.32689,0.0014852,0.0014852,0.0014852
28,86.1261,0.91916,0.83067,1.1785,0.84996,0.83309,0.9061,0.64112,1.01437,0.7594,1.3206,0.0014654,0.0014654,0.0014654
29,89.0707,0.92504,0.84745,1.1926,0.84883,0.79412,0.88459,0.64459,0.97955,0.86629,1.27378,0.0014456,0.0014456,0.0014456
30,92.0782,0.91183,0.8316,1.19444,0.8829,0.83162,0.88769,0.64705,0.99192,0.99004,1.29402,0.0014258,0.0014258,0.0014258
31,95.0626,0.88962,0.79171,1.16263,0.89362,0.80295,0.9101,0.64209,1.01335,0.96571,1.29443,0.001406,0.001406,0.001406
32,97.9951,0.91181,0.82135,1.17836,0.90912,0.82353,0.91416,0.62368,1.00339,0.84939,1.27858,0.0013862,0.0013862,0.0013862
33,101.12,0.90966,0.79308,1.15722,0.87144,0.79412,0.88129,0.63473,1.04465,0.88289,1.3423,0.0013664,0.0013664,0.0013664
34,104.241,0.8807,0.79884,1.15768,0.89018,0.80147,0.91415,0.65586,0.96663,0.85683,1.23197,0.0013466,0.0013466,0.0013466
35,107.238,0.84903,0.77379,1.13965,0.94708,0.80147,0.90977,0.68306,0.9422,0.78072,1.25047,0.0013268,0.0013268,0.0013268
36,110.203,0.85536,0.79419,1.14922,0.89639,0.89058,0.94923,0.6793,0.94771,0.88176,1.25133,0.001307,0.001307,0.001307
37,113.273,0.86764,0.76837,1.14923,0.94123,0.82438,0.90618,0.65448,0.93419,0.77811,1.21617,0.0012872,0.0012872,0.0012872
38,116.257,0.87705,0.7667,1.15445,0.92892,0.86481,0.91332,0.69032,0.87504,0.76389,1.20054,0.0012674,0.0012674,0.0012674
39,119.273,0.87537,0.76082,1.15297,0.91069,0.90441,0.94264,0.68768,0.9305,0.67456,1.2262,0.0012476,0.0012476,0.0012476
40,122.267,0.83245,0.74087,1.14565,0.91556,0.83088,0.93438,0.68647,0.94817,0.73861,1.22903,0.0012278,0.0012278,0.0012278
41,125.185,0.84255,0.71423,1.13012,0.92617,0.83019,0.92143,0.66553,0.93087,0.78733,1.22231,0.001208,0.001208,0.001208
42,128.122,0.85014,0.71731,1.1271,0.91932,0.86029,0.9624,0.70654,0.91227,0.68161,1.20573,0.0011882,0.0011882,0.0011882
43,131.066,0.81622,0.72362,1.11674,0.91629,0.88971,0.94161,0.69568,0.94952,0.69521,1.21877,0.0011684,0.0011684,0.0011684
44,133.964,0.78402,0.6938,1.1076,0.92637,0.88971,0.95355,0.7204,0.88846,0.66881,1.17301,0.0011486,0.0011486,0.0011486
45,136.929,0.81889,0.71269,1.10962,0.8917,0.88235,0.91939,0.70024,0.87385,0.7042,1.15175,0.0011288,0.0011288,0.0011288
46,139.869,0.79277,0.6971,1.10318,0.92347,0.88723,0.94294,0.71118,0.87978,0.61894,1.20471,0.001109,0.001109,0.001109
47,142.774,0.78331,0.67723,1.10538,0.91832,0.90934,0.94324,0.70641,0.87288,0.61736,1.1874,0.0010892,0.0010892,0.0010892
48,145.667,0.78452,0.68341,1.0888,0.9244,0.88971,0.96042,0.70483,0.8849,0.63233,1.20763,0.0010694,0.0010694,0.0010694
49,148.593,0.7889,0.67668,1.10064,0.95127,0.86126,0.95788,0.73789,0.84048,0.58013,1.17035,0.0010496,0.0010496,0.0010496
50,151.563,0.78108,0.65731,1.09189,0.93731,0.87949,0.94227,0.71651,0.88595,0.65194,1.18773,0.0010298,0.0010298,0.0010298
51,154.491,0.7483,0.6361,1.08463,0.90708,0.86029,0.9422,0.70701,0.8671,0.65218,1.18897,0.00101,0.00101,0.00101
52,157.42,0.74361,0.65545,1.09292,0.91937,0.88971,0.94082,0.72016,0.86373,0.64233,1.2006,0.0009902,0.0009902,0.0009902
53,160.373,0.75335,0.6363,1.07006,0.90053,0.875,0.89426,0.69277,0.90792,0.69553,1.21851,0.0009704,0.0009704,0.0009704
54,163.264,0.72437,0.60744,1.05637,0.96816,0.8944,0.95467,0.7518,0.8251,0.582,1.14529,0.0009506,0.0009506,0.0009506
55,166.139,0.77275,0.67233,1.08712,0.91173,0.89706,0.95211,0.74253,0.81734,0.6136,1.15535,0.0009308,0.0009308,0.0009308
56,168.967,0.73191,0.62223,1.09428,0.95297,0.89394,0.96042,0.7389,0.82412,0.58881,1.15788,0.000911,0.000911,0.000911
57,171.818,0.73491,0.60899,1.06341,0.95266,0.90441,0.96689,0.73581,0.83105,0.57304,1.12898,0.0008912,0.0008912,0.0008912
58,174.653,0.72947,0.60641,1.0788,0.93892,0.90423,0.95487,0.73965,0.82275,0.60412,1.12966,0.0008714,0.0008714,0.0008714
59,177.586,0.73049,0.62423,1.07164,0.9545,0.92543,0.97032,0.75833,0.80085,0.54324,1.14003,0.0008516,0.0008516,0.0008516
60,180.453,0.72435,0.61542,1.06463,0.94501,0.88457,0.94618,0.7253,0.81676,0.5824,1.14745,0.0008318,0.0008318,0.0008318
61,183.285,0.73761,0.61879,1.07465,0.95594,0.91912,0.96432,0.74606,0.81527,0.56064,1.14935,0.000812,0.000812,0.000812
62,186.134,0.71212,0.60235,1.06336,0.94537,0.89071,0.96033,0.73899,0.82671,0.5932,1.15135,0.0007922,0.0007922,0.0007922
63,189.175,0.70379,0.59744,1.05041,0.92818,0.92647,0.96706,0.76534,0.81319,0.54518,1.12544,0.0007724,0.0007724,0.0007724
64,192.193,0.69074,0.57504,1.05171,0.91192,0.89706,0.94501,0.74357,0.82206,0.59682,1.15074,0.0007526,0.0007526,0.0007526
65,195.368,0.70605,0.58198,1.06669,0.93956,0.89706,0.96687,0.74604,0.79715,0.55503,1.11212,0.0007328,0.0007328,0.0007328
66,198.31,0.68713,0.57661,1.04782,0.93247,0.91377,0.96405,0.72781,0.81755,0.55901,1.15171,0.000713,0.000713,0.000713
67,201.259,0.69797,0.59004,1.05298,0.94564,0.89537,0.96195,0.76152,0.76848,0.54684,1.1135,0.0006932,0.0006932,0.0006932
68,204.077,0.67999,0.5563,1.0612,0.92295,0.94118,0.97085,0.73983,0.84483,0.54969,1.15927,0.0006734,0.0006734,0.0006734
69,206.942,0.71138,0.5914,1.06526,0.92554,0.91912,0.9671,0.7509,0.81412,0.55516,1.13959,0.0006536,0.0006536,0.0006536
70,209.795,0.6762,0.56081,1.0463,0.98426,0.91912,0.97245,0.76663,0.81019,0.53542,1.12831,0.0006338,0.0006338,0.0006338
71,212.624,0.68689,0.56327,1.05456,0.95017,0.92647,0.96644,0.76879,0.76322,0.53541,1.10538,0.000614,0.000614,0.000614
72,215.46,0.65912,0.56373,1.03576,0.94045,0.93382,0.97315,0.76513,0.79531,0.51566,1.13361,0.0005942,0.0005942,0.0005942
73,218.259,0.65902,0.56302,1.03985,0.96823,0.90441,0.97502,0.75973,0.80227,0.52606,1.11999,0.0005744,0.0005744,0.0005744
74,221.105,0.6594,0.54495,1.02787,0.94754,0.90441,0.9715,0.77776,0.76008,0.49094,1.09781,0.0005546,0.0005546,0.0005546
75,223.949,0.66222,0.53564,1.04223,0.92633,0.92453,0.96516,0.8014,0.71986,0.52005,1.06001,0.0005348,0.0005348,0.0005348
76,226.885,0.65481,0.546,1.05005,0.91333,0.92987,0.96649,0.77225,0.75399,0.51409,1.0865,0.000515,0.000515,0.000515
77,229.818,0.62503,0.52291,1.01863,0.96897,0.91853,0.97302,0.7775,0.75786,0.49898,1.08777,0.0004952,0.0004952,0.0004952
78,232.746,0.6562,0.53111,1.0232,0.96153,0.91896,0.97229,0.7862,0.75296,0.49855,1.09859,0.0004754,0.0004754,0.0004754
79,235.653,0.62214,0.52003,1.02646,0.95439,0.92322,0.97138,0.78096,0.76775,0.49313,1.09602,0.0004556,0.0004556,0.0004556
80,238.531,0.63245,0.52238,1.02498,0.9562,0.93382,0.9713,0.78979,0.7316,0.48025,1.09806,0.0004358,0.0004358,0.0004358
81,241.346,0.6377,0.52358,1.02937,0.97688,0.93224,0.97901,0.79963,0.75161,0.47902,1.0917,0.000416,0.000416,0.000416
82,244.377,0.63783,0.51227,1.02291,0.97644,0.91442,0.98439,0.78653,0.76198,0.46391,1.10746,0.0003962,0.0003962,0.0003962
83,247.208,0.60607,0.50254,1.02525,0.96208,0.93285,0.97066,0.78545,0.76939,0.48246,1.11523,0.0003764,0.0003764,0.0003764
84,250.022,0.6379,0.50959,1.035,0.97084,0.94118,0.97492,0.78136,0.78217,0.47848,1.12503,0.0003566,0.0003566,0.0003566
85,252.827,0.62357,0.49788,1.0206,0.96957,0.93728,0.97015,0.78371,0.76341,0.51205,1.09812,0.0003368,0.0003368,0.0003368
86,255.627,0.6219,0.50583,1.02597,0.96887,0.92647,0.97653,0.79301,0.73543,0.47368,1.08169,0.000317,0.000317,0.000317
87,258.475,0.61345,0.49288,1.0218,0.98065,0.91912,0.97464,0.78823,0.74613,0.48788,1.10573,0.0002972,0.0002972,0.0002972
88,261.297,0.5989,0.48621,1.00381,0.99205,0.91755,0.97745,0.79043,0.75158,0.47856,1.10515,0.0002774,0.0002774,0.0002774
89,264.24,0.60141,0.47895,1.01035,0.95468,0.92932,0.98371,0.79965,0.72145,0.45356,1.06812,0.0002576,0.0002576,0.0002576
90,267.126,0.57873,0.47077,0.99627,0.93509,0.95329,0.9868,0.80451,0.72032,0.46226,1.07859,0.0002378,0.0002378,0.0002378
91,280.464,0.45077,0.34105,0.89058,0.94148,0.94641,0.97761,0.80346,0.72267,0.48604,1.08683,0.000218,0.000218,0.000218
92,283.373,0.43409,0.31333,0.87833,0.99193,0.90337,0.97378,0.79181,0.71809,0.49006,1.08844,0.0001982,0.0001982,0.0001982
93,286.369,0.42729,0.30736,0.87486,0.97347,0.93382,0.97882,0.791,0.72708,0.48709,1.10283,0.0001784,0.0001784,0.0001784
94,289.183,0.42598,0.30653,0.87403,0.97193,0.93382,0.98152,0.79232,0.74416,0.46006,1.12168,0.0001586,0.0001586,0.0001586
95,292.013,0.42693,0.30539,0.88099,0.99372,0.89706,0.9789,0.80357,0.72787,0.47326,1.10358,0.0001388,0.0001388,0.0001388
96,294.985,0.40813,0.30023,0.86053,0.96925,0.92709,0.98029,0.79216,0.7372,0.47234,1.09614,0.000119,0.000119,0.000119
97,297.918,0.42611,0.29352,0.86974,0.94172,0.95052,0.98064,0.79721,0.73494,0.45676,1.0942,9.92e-05,9.92e-05,9.92e-05
98,300.775,0.40507,0.28468,0.85902,0.95572,0.95215,0.98205,0.80391,0.72194,0.45704,1.08025,7.94e-05,7.94e-05,7.94e-05
99,303.63,0.40699,0.28751,0.86768,0.96275,0.95017,0.98268,0.80344,0.70581,0.44928,1.07538,5.96e-05,5.96e-05,5.96e-05
100,306.695,0.41229,0.28768,0.85779,0.97413,0.92647,0.98025,0.80691,0.71417,0.45447,1.08077,3.98e-05,3.98e-05,3.98e-05
